21,460,20
212,142,82
215,278,99
218,539,61
221,293,46
224,657,34
228,179,35
230,477,55
233,799,26
235,986,88
239,943,1
241,759,27
245,398,47
248,158,18
250,226,42
253,460,73
256,364,35
259,698,58
261,815,56
264,860,15
267,400,6
27,538,62
272,216,83
274,322,79
277,802,61
28,213,90
282,37,25
286,143,59
29,366,59
292,530,6
295,419,97
299,628,19
300,37,28
304,174,92
307,711,29
31,457,57
312,614,98
316,15,20
32,106,14
321,887,48
325,13,79
327,544,14
33,814,72
333,691,27
337,141,76
34,344,7
342,573,96
345,138,92
348,847,34
350,582,63
353,81,98
357,455,21
360,270,18
362,857,79
365,859,11
368,858,65
371,378,92
374,460,63
377,417,15
38,559,62
382,728,43
385,92,88
388,983,98
391,8,2
394,669,50
397,515,23
40,458,60
403,449,78
406,268,24
408,801,54
411,362,74
415,82,98
419,503,90
421,543,71
424,440,87
427,178,100
43,281,71
432,830,29
890,641,50
894,211,39
896,867,85
899,862,89
900,284,83
903,998,45
907,354,7
91,722,77
913,166,70
915,697,100
918,814,66
920,172,72
922,871,44
925,297,64
928,932,55
930,344,25
932,635,41
935,758,3
939,467,97
942,340,15
944,791,68
947,600,22
950,156,53
953,198,44
955,852,74
96,162,28
961,577,25
964,747,56
968,272,15
970,27,62
973,184,91
976,832,18
98,578,43
983,428,27
986,559,27
989,221,57
991,231,55
994,607,39
998,355,99
661,518,80
664,899,81
668,451,20
670,164,56
673,793,79
677,608,50
68,744,12
683,532,59
686,345,38
689,732,69
693,452,80
696,34,64
7,39,56
701,516,20
704,719,74
708,26,4
71,554,48
712,8,48
716,179,15
718,763,18
721,571,47
724,137,46
726,206,64
729,793,35
732,195,6
735,692,46
738,699,81
740,427,73
742,870,20
746,263,73
749,120,97
751,124,60
756,279,89
759,699,16
761,868,28
765,282,42
769,734,33
771,708,96
774,682,54
787,337,31
79,275,70
791,415,68
795,120,96
797,593,91
8,760,66
801,60,98
805,536,89
809,245,22
811,561,30
814,485,18
817,787,13
82,859,39
821,636,22
824,355,35
828,213,34
830,590,6
833,954,99
836,113,49
839,61,76
842,62,20
845,631,66
848,43,59
850,377,33
853,732,45
857,18,48
860,644,23
863,10,27
865,588,99
868,563,100
871,690,98
875,28,28
879,20,42
882,388,99
886,312,44
889,474,60
779,480,87
781,628,5
785,117,11
553,513,45
556,4,18
559,207,99
561,875,68
564,707,14
567,450,61
569,537,97
570,78,55
573,695,5
576,985,80
578,79,69
580,252,100
583,434,7
586,642,59
588,968,90
591,270,22
595,504,63
598,470,30
60,416,90
602,661,60
605,808,41
609,964,55
611,90,72
614,864,79
618,604,33
620,997,68
623,783,70
627,803,91
630,477,78
633,922,94
636,504,24
639,52,100
641,244,60
643,660,19
647,571,28
65,158,78
652,611,1
655,947,50
658,95,48
142,855,68
146,690,5
149,649,69
151,154,4
154,918,70
158,456,12
160,287,64
163,347,89
166,254,24
169,789,24
171,983,37
174,471,16
178,288,51
18,690,80
182,530,78
186,160,71
188,606,56
192,342,47
194,64,53
198,42,13
2,690,37
201,35,71
204,370,30
207,787,39
0,265,84
100,961,81
104,158,68
106,803,95
109,639,48
112,136,91
115,633,76
118,793,87
120,978,49
124,100,64
127,287,6
129,859,64
131,776,27
135,177,82
138,4,69
140,260,17
435,730,48
439,14,40
441,17,24
444,63,81
449,121,41
450,763,93
453,271,64
455,812,87
459,227,21
461,784,7
464,2,36
467,47,42
470,616,91
473,503,57
476,25,32
479,638,78
481,566,60
484,809,95
488,335,9
49,664,5
493,114,54
496,68,3
499,645,69
502,174,92
505,429,53
508,575,13
511,587,32
515,843,23
52,379,90
523,661,17
526,735,74
53,452,53
533,456,6
537,189,50
54,15,100
541,927,85
545,565,46
548,727,76
550,480,85
21,469,16
212,208,18
215,286,63
218,657,11
221,36,66
224,689,61
228,252,94
230,485,58
233,94,33
236,134,53
24,131,54
241,823,54
245,40,87
248,297,72
250,304,29
253,502,75
256,365,23
259,713,64
261,875,85
264,874,85
267,477,81
27,676,63
272,251,32
274,36,18
277,945,27
28,241,33
282,457,6
286,189,49
29,428,52
292,592,83
295,454,27
299,657,75
300,651,89
304,340,51
307,712,80
31,459,2
312,676,68
316,166,24
32,212,79
321,89,21
325,163,2
327,625,12
33,84,29
333,716,24
337,200,25
34,378,64
342,581,34
345,154,82
348,882,96
350,674,18
353,838,24
357,513,40
360,314,41
363,24,70
365,903,78
368,985,93
371,459,6
374,576,62
377,533,24
38,664,1
382,740,64
386,173,91
389,188,71
391,843,29
394,777,32
397,680,4
40,536,52
403,569,44
406,320,49
408,821,33
411,421,78
415,962,54
419,670,2
421,666,61
424,493,100
427,40,28
43,571,64
432,959,5
890,713,40
894,236,53
897,158,78
899,995,22
900,56,86
903,999,31
907,557,11
91,797,20
913,18,13
915,715,72
918,871,16
920,195,48
922,877,62
925,515,3
928,977,96
930,354,41
932,695,41
935,805,98
939,760,62
942,862,81
944,871,92
947,62,15
950,188,38
953,233,74
955,853,62
96,301,60
961,768,15
964,952,91
968,299,54
970,300,91
973,302,46
977,167,26
98,703,59
983,447,34
986,601,72
989,413,55
991,260,83
994,689,72
998,362,77
661,572,67
664,918,50
668,576,71
670,171,63
673,795,36
677,632,34
68,788,74
683,610,97
686,521,87
689,924,95
693,620,41
696,49,6
7,391,56
701,542,16
704,811,34
708,301,31
71,802,52
712,862,9
716,470,31
718,805,89
721,577,91
724,140,87
726,211,37
729,957,53
732,316,48
735,703,65
738,722,8
740,710,8
742,980,31
746,309,91
749,126,21
751,403,49
756,318,90
759,70,14
761,980,24
765,365,77
769,849,30
771,766,77
774,782,42
787,372,85
79,358,60
791,481,16
795,145,11
797,918,57
8,957,45
802,222,81
805,765,12
809,33,19
811,562,37
814,487,57
817,935,86
82,89,76
821,667,51
824,368,88
828,305,45
830,60,32
833,968,8
836,277,13
839,668,34
842,641,57
845,659,19
848,435,16
850,420,72
853,958,41
857,185,42
860,718,61
863,11,8
865,68,52
868,682,40
871,925,26
875,310,91
879,270,39
882,493,23
886,327,52
889,733,91
779,645,51
782,165,99
785,14,63
553,687,63
556,401,85
559,4,92
561,883,37
564,820,75
567,564,89
569,577,12
570,935,51
573,720,42
577,1,62
578,865,91
580,281,39
583,518,43
586,650,88
589,139,96
591,395,97
595,562,28
598,472,29
60,455,25
602,687,94
605,935,96
61,272,61
611,919,74
614,998,20
618,798,96
621,186,17
623,812,36
627,841,74
630,504,37
633,924,28
636,573,25
639,615,97
641,27,53
643,662,17
647,721,14
65,20,12
652,627,77
656,132,82
658,980,67
142,961,32
146,706,19
149,652,1
151,431,88
154,921,96
158,466,53
160,344,64
163,419,19
166,26,54
169,817,89
172,102,27
174,592,79
178,305,14
18,732,77
182,647,51
186,201,23
189,337,84
192,37,81
194,998,44
198,477,49
20,131,72
201,355,69
204,412,27
0,305,73
100,974,72
104,275,49
106,950,34
109,838,77
112,184,39
115,663,96
118,886,13
120,988,8
124,272,75
127,38,42
129,867,1
131,968,47
135,178,64
138,430,84
140,410,26
435,877,74
439,220,2
441,50,57
444,729,89
449,187,62
450,871,83
453,289,30
455,847,91
459,321,32
461,797,56
464,221,93
467,487,51
470,658,80
473,604,74
476,291,85
479,7,21
481,679,67
484,903,77
488,367,93
49,716,45
493,118,9
496,692,17
499,88,80
502,231,42
505,487,93
508,580,90
511,64,38
516,202,57
52,408,70
523,670,58
526,748,43
53,51,46
533,724,66
537,383,32
54,337,82
541,99,22
545,744,88
548,773,38
550,507,62
21,601,93
212,213,28
215,294,66
218,744,87
221,625,77
224,963,45
228,385,63
230,681,5
234,120,25
236,264,83
24,239,1
241,953,35
245,546,47
248,460,89
250,375,48
253,540,53
256,497,47
259,745,12
261,940,2
264,944,68
267,488,1
27,705,1
272,269,12
274,659,61
278,154,55
28,617,93
282,710,27
286,327,50
29,615,24
292,646,82
295,504,80
299,672,93
300,668,58
304,433,45
307,811,54
31,565,88
312,853,12
316,243,1
32,262,77
321,947,78
325,182,31
327,680,48
33,893,24
333,853,90
337,218,90
34,392,96
342,59,64
345,321,81
348,887,1
350,680,47
353,908,34
357,577,62
360,537,3
363,3,86
365,943,93
369,10,46
371,570,39
374,596,54
377,604,48
38,669,78
383,243,70
386,383,13
389,412,98
392,177,100
394,904,13
397,690,90
40,603,24
403,857,74
406,354,8
408,89,21
411,621,65
415,976,49
419,709,30
421,679,18
424,579,69
427,411,31
43,657,32
433,557,100
890,847,58
894,285,78
897,63,35
9,1,95
900,692,16
904,113,96
907,641,11
91,886,43
913,376,40
915,765,41
918,875,69
920,20,11
922,90,46
925,528,9
928,991,53
930,407,20
932,773,77
935,867,62
939,893,53
942,948,35
945,272,68
947,725,86
950,207,22
953,379,82
955,951,8
96,34,11
961,785,51
965,119,100
968,631,35
970,350,21
973,423,56
977,332,48
98,762,39
983,507,25
986,604,11
989,441,1
991,414,93
994,919,25
998,378,14
661,611,4
664,935,43
668,597,94
670,219,55
673,912,53
677,644,18
68,794,65
683,615,41
687,212,27
69,346,10
693,738,4
696,508,78
7,667,61
701,729,89
704,83,40
708,345,97
71,885,56
713,151,6
716,54,78
718,981,26
721,61,69
724,168,46
726,22,53
729,996,92
732,317,21
735,738,93
738,742,13
740,960,85
743,0,52
746,407,70
749,170,72
751,436,89
756,438,66
759,731,3
762,231,31
765,375,86
769,857,40
771,816,6
774,828,63
787,373,15
79,377,51
791,544,40
795,353,29
797,981,17
80,121,74
802,284,31
805,852,22
809,38,84
811,66,15
814,50,62
817,996,37
82,903,98
821,738,3
824,481,32
828,638,85
830,662,56
834,171,37
836,411,31
839,813,92
842,659,99
845,681,69
848,459,54
850,553,56
854,1,63
857,186,10
860,748,12
863,169,50
865,815,29
868,728,24
872,108,18
875,406,12
879,322,63
882,605,17
886,343,94
889,838,62
779,758,24
782,326,85
785,242,66
553,706,1
556,581,16
559,456,19
561,898,96
564,824,1
567,607,60
569,631,86
571,242,74
573,789,77
577,152,58
578,927,41
580,283,98
583,572,24
586,742,42
589,171,97
591,513,56
595,581,83
598,620,36
60,459,23
602,844,48
605,960,30
61,468,26
611,953,83
615,128,68
618,801,100
621,192,26
623,820,54
627,844,3
630,817,90
633,932,69
636,62,12
639,725,70
641,341,73
643,778,15
647,847,50
65,208,29
652,691,21
656,319,87
659,136,76
143,192,28
146,750,15
149,690,38
151,525,11
154,94,84
158,490,84
